User Cost($) product_1(kg) product_2(g) product_3(quantity) product_4(quantity)
User1 50.0 2.0 200.0 3.0 5.0
User2 114.15 7.0 1500.0 3.0 6.0
User3 106.15 6.0 500.0 3.0 6.0
User4 114.15 7.0 1500.0 3.0 6.0
User5 25.65 1.0 200.0 2.0 1.0
User6 109.0 3.0 300.0 15.0 5.0
User7 90.25 1.0 3000.0 2.0 5.0
User8 91.75 1.0 75.0 2.0 15.0
User9 24.55 0.5 15.0 2.0 5.0
User10 47.0 2.0 50.0 3.0 5.0
User11 58.45 3.0 50.0 4.0 3.0
User12 28.65 0.1 300.0 4.0 3.0
User13 68.4 3.5 60.0 5.0 3.0
User14 91.75 6.0 75.0 2.0 6.0
User15 31.45 8.0 60.0 4.0 5.0
User16 39.1 2.0 30.0 1.0 5.0
User17 75.9 3.0 600.0 4.0 6.0
User18 65.1 3.0 60.0 4.0 6.0
User19 31.45 8.0 60.0 4.0 6.0
User20 64.9 3.0 50.0 4.0 6.0
User21 57.15 2.0 75.0 5.0 6.0
User22 56.85 3.0 60.0 5.0 6.0
User23 129.55 7.0 50.0 5.0 12.0
User24 26.35 0.1 50.0 4.0 6.0
User25 30.1 0.1 50.0 4.0 6.0
User26 51.25 2.0 75.0 4.0 5.0
User27 59.35 2.0 50.0 4.0 9.0
User28 44.3 2.0 50.0 4.0 2.0
User29 44.3 2.0 50.0 4.0 2.0
User30 77.4 1.5 50.0 15.0 6.0
