User Cost($) product_1(kg) product_2(g) product_3(quantity) product_4(quantity)
User1 50 2 200 3 5
User2 114.15 7 N/A 3 6
User3 106.15 6 500 3 6
User4 N/A 7 1500 3 N/A
User5 25.65 1 200 2 1
User6 109 3 300 15 5
User7 90.25 1 3000 2 5
User8 N/A 1 N/A 2 15
User9 24.55 0.5 15 2 5
User10 47 2 50 3 5
User11 58.45 3 50 4 3
User12 28.65 0.1 300 4 3
User13 68.4 3.5 60 5 3
User14 91.75 6 75 2 N/A
User15 31.45 N/A 60 N/A 5
User16 39.1 2 30 1 5
User17 75.9 3 600 4 6
User18 65.1 3 60 4 6
User19 N/A 8 N/A 4 6
User20 64.9 3 50 4 6
User21 57.15 2 75 5 6
User22 56.85 N/A 60 5 6
User23 129.55 7 50 5 12
User24 26.35 0.1 50 N/A 6
User25 30.1 0.1 50 4 6
User26 51.25 2 75 4 5
User27 59.35 2 50 4 9
User28 44.3 2 N/A 4 2
User29 44.3 2 50 4 2
User30 77.4 1.5 50 15 N/A
